Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner,FCB_Goals,RMA_Goals,Total_Goals,Attendance_Clean,Formatted_Date,Year
Supercopa,Final,"Sun, 11/01/2026",FC Barcelona,Real Madrid,60.326,3:2,FC Barcelona,3,2,5,60326.0,2026-01-11,2026
LaLiga,10,"Sun, 26/10/2025",Real Madrid,FC Barcelona,78.107,2:1,Real Madrid,1,2,3,78107.0,2025-10-26,2025
LaLiga,35,"Sun, 11/05/2025",FC Barcelona,Real Madrid,50.319,4:3,FC Barcelona,4,3,7,50319.0,2025-05-11,2025
Copa del Rey,Final,"Sat, 26/04/2025",FC Barcelona,Real Madrid,65.08,3:2AET,FC Barcelona,3,2,5,6508.0,2025-04-26,2025
Supercopa,Final,"Sun, 12/01/2025",Real Madrid,FC Barcelona,60.0,2:5,FC Barcelona,5,2,7,600.0,2025-01-12,2025
LaLiga,11,"Sat, 26/10/2024",Real Madrid,FC Barcelona,78.192,0:4,FC Barcelona,4,0,4,78192.0,2024-10-26,2024
LaLiga,32,"Sun, 21/04/2024",Real Madrid,FC Barcelona,77.981,3:2,Real Madrid,2,3,5,77981.0,2024-04-21,2024
Supercopa,Final,"Sun, 14/01/2024",Real Madrid,FC Barcelona,23.977,4:1,Real Madrid,1,4,5,23977.0,2024-01-14,2024
LaLiga,11,"Sat, 28/10/2023",FC Barcelona,Real Madrid,50.112,1:2,Real Madrid,1,2,3,50112.0,2023-10-28,2023
Copa del Rey,Semi-Finals,"Wed, 05/04/2023",FC Barcelona,Real Madrid,94.902,0:4,Real Madrid,0,4,4,94902.0,2023-04-05,2023
LaLiga,26,"Sun, 19/03/2023",FC Barcelona,Real Madrid,95.745,2:1,FC Barcelona,2,1,3,95745.0,2023-03-19,2023
Copa del Rey,Semi-Finals,"Thu, 02/03/2023",Real Madrid,FC Barcelona,63.0,0:1,FC Barcelona,1,0,1,630.0,2023-03-02,2023
Supercopa,Final,"Sun, 15/01/2023",Real Madrid,FC Barcelona,68.752,1:3,FC Barcelona,3,1,4,68752.0,2023-01-15,2023
LaLiga,9,"Sun, 16/10/2022",Real Madrid,FC Barcelona,62.876,3:1,Real Madrid,1,3,4,62876.0,2022-10-16,2022
LaLiga,29,"Sun, 20/03/2022",Real Madrid,FC Barcelona,60.017,0:4,FC Barcelona,4,0,4,60017.0,2022-03-20,2022
Supercopa,Semi-Finals,"Wed, 12/01/2022",FC Barcelona,Real Madrid,30.0,2:3AET,Real Madrid,2,3,5,300.0,2022-01-12,2022
LaLiga,10,"Sun, 24/10/2021",FC Barcelona,Real Madrid,86.422,1:2,Real Madrid,1,2,3,86422.0,2021-10-24,2021
LaLiga,30,"Sat, 10/04/2021",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,2021-04-10,2021
LaLiga,7,"Sat, 24/10/2020",FC Barcelona,Real Madrid,,1:3,Real Madrid,1,3,4,0.0,2020-10-24,2020
LaLiga,26,"Sun, 01/03/2020",Real Madrid,FC Barcelona,78.237,2:0,Real Madrid,0,2,2,78237.0,2020-03-01,2020
LaLiga,10,"Wed, 18/12/2019",FC Barcelona,Real Madrid,93.426,0:0,Draw,0,0,0,93426.0,2019-12-18,2019
LaLiga,26,"Sat, 02/03/2019",Real Madrid,FC Barcelona,78.921,0:1,FC Barcelona,1,0,1,78921.0,2019-03-02,2019
Copa del Rey,Semi-Finals,"Wed, 27/02/2019",Real Madrid,FC Barcelona,80.472,0:3,FC Barcelona,3,0,3,80472.0,2019-02-27,2019
Copa del Rey,Semi-Finals,"Wed, 06/02/2019",FC Barcelona,Real Madrid,92.008,1:1,Draw,1,1,2,92008.0,2019-02-06,2019
LaLiga,10,"Sun, 28/10/2018",FC Barcelona,Real Madrid,93.265,5:1,FC Barcelona,5,1,6,93265.0,2018-10-28,2018
LaLiga,36,"Sun, 06/05/2018",FC Barcelona,Real Madrid,97.939,2:2,Draw,2,2,4,97939.0,2018-05-06,2018
LaLiga,17,"Sat, 23/12/2017",Real Madrid,FC Barcelona,80.264,0:3,FC Barcelona,3,0,3,80264.0,2017-12-23,2017
Supercopa,Final,"Wed, 16/08/2017",Real Madrid,FC Barcelona,70.0,2:0,Real Madrid,0,2,2,700.0,2017-08-16,2017
Supercopa,Final,"Sun, 13/08/2017",FC Barcelona,Real Madrid,89.514,1:3,Real Madrid,1,3,4,89514.0,2017-08-13,2017
LaLiga,33,"Sun, 23/04/2017",Real Madrid,FC Barcelona,81.044,2:3,FC Barcelona,3,2,5,81044.0,2017-04-23,2017
LaLiga,14,"Sat, 03/12/2016",FC Barcelona,Real Madrid,98.485,1:1,Draw,1,1,2,98485.0,2016-12-03,2016
LaLiga,31,"Sat, 02/04/2016",FC Barcelona,Real Madrid,98.902,1:2,Real Madrid,1,2,3,98902.0,2016-04-02,2016
LaLiga,12,"Sat, 21/11/2015",Real Madrid,FC Barcelona,80.148,0:4,FC Barcelona,4,0,4,80148.0,2015-11-21,2015
LaLiga,28,"Sun, 22/03/2015",FC Barcelona,Real Madrid,98.76,2:1,FC Barcelona,2,1,3,9876.0,2015-03-22,2015
LaLiga,9,"Sat, 25/10/2014",Real Madrid,FC Barcelona,84.0,3:1,Real Madrid,1,3,4,840.0,2014-10-25,2014
Copa del Rey,Final,"Wed, 16/04/2014",FC Barcelona,Real Madrid,52.953,1:2,Real Madrid,1,2,3,52953.0,2014-04-16,2014
LaLiga,29,"Sun, 23/03/2014",Real Madrid,FC Barcelona,85.454,3:4,FC Barcelona,4,3,7,85454.0,2014-03-23,2014
LaLiga,10,"Sat, 26/10/2013",FC Barcelona,Real Madrid,98.761,2:1,FC Barcelona,2,1,3,98761.0,2013-10-26,2013
LaLiga,26,"Sat, 02/03/2013",Real Madrid,FC Barcelona,78.0,2:1,Real Madrid,1,2,3,780.0,2013-03-02,2013
Copa del Rey,Semi-Finals,"Tue, 26/02/2013",FC Barcelona,Real Madrid,95.002,1:3,Real Madrid,1,3,4,95002.0,2013-02-26,2013
Copa del Rey,Semi-Finals,"Wed, 30/01/2013",Real Madrid,FC Barcelona,80.0,1:1,Draw,1,1,2,800.0,2013-01-30,2013
LaLiga,7,"Sun, 07/10/2012",FC Barcelona,Real Madrid,99.354,2:2,Draw,2,2,4,99354.0,2012-10-07,2012
Supercopa,Final,"Wed, 29/08/2012",Real Madrid,FC Barcelona,80.0,2:1,Real Madrid,1,2,3,800.0,2012-08-29,2012
Supercopa,Final,"Thu, 23/08/2012",FC Barcelona,Real Madrid,91.728,3:2,FC Barcelona,3,2,5,91728.0,2012-08-23,2012
LaLiga,35,"Sat, 21/04/2012",FC Barcelona,Real Madrid,99.252,1:2,Real Madrid,1,2,3,99252.0,2012-04-21,2012
Copa del Rey,Quarter-Finals,"Wed, 25/01/2012",FC Barcelona,Real Madrid,95.486,2:2,Draw,2,2,4,95486.0,2012-01-25,2012
Copa del Rey,Quarter-Finals,"Wed, 18/01/2012",Real Madrid,FC Barcelona,83.5,1:2,FC Barcelona,2,1,3,835.0,2012-01-18,2012
LaLiga,16,"Sat, 10/12/2011",Real Madrid,FC Barcelona,80.0,1:3,FC Barcelona,3,1,4,800.0,2011-12-10,2011
Supercopa,Final,"Wed, 17/08/2011",FC Barcelona,Real Madrid,99.354,3:2,FC Barcelona,3,2,5,99354.0,2011-08-17,2011
Supercopa,Final,"Sun, 14/08/2011",Real Madrid,FC Barcelona,80.0,2:2,Draw,2,2,4,800.0,2011-08-14,2011
UEFA Champions League,Semi-Finals,"Tue, 03/05/2011",FC Barcelona,Real Madrid,95.701,1:1,Draw,1,1,2,95701.0,2011-05-03,2011
UEFA Champions League,Semi-Finals,"Wed, 27/04/2011",Real Madrid,FC Barcelona,75.0,0:2,FC Barcelona,2,0,2,750.0,2011-04-27,2011
Copa del Rey,Final,"Wed, 20/04/2011",FC Barcelona,Real Madrid,52.6,0:1AET,Real Madrid,0,1,1,526.0,2011-04-20,2011
LaLiga,32,"Sat, 16/04/2011",Real Madrid,FC Barcelona,80.0,1:1,Draw,1,1,2,800.0,2011-04-16,2011
LaLiga,13,"Mon, 29/11/2010",FC Barcelona,Real Madrid,98.255,5:0,FC Barcelona,5,0,5,98255.0,2010-11-29,2010
LaLiga,31,"Sat, 10/04/2010",Real Madrid,FC Barcelona,80.0,0:2,FC Barcelona,2,0,2,800.0,2010-04-10,2010
LaLiga,12,"Sun, 29/11/2009",FC Barcelona,Real Madrid,97.132,1:0,FC Barcelona,1,0,1,97132.0,2009-11-29,2009
LaLiga,34,"Sat, 02/05/2009",Real Madrid,FC Barcelona,80.0,2:6,FC Barcelona,6,2,8,800.0,2009-05-02,2009
LaLiga,15,"Sat, 13/12/2008",FC Barcelona,Real Madrid,96.509,2:0,FC Barcelona,2,0,2,96509.0,2008-12-13,2008
LaLiga,36,"Wed, 07/05/2008",Real Madrid,FC Barcelona,79.5,4:1,Real Madrid,1,4,5,795.0,2008-05-07,2008
LaLiga,17,"Sun, 23/12/2007",FC Barcelona,Real Madrid,98.248,0:1,Real Madrid,0,1,1,98248.0,2007-12-23,2007
LaLiga,26,"Sat, 10/03/2007",FC Barcelona,Real Madrid,97.823,3:3,Draw,3,3,6,97823.0,2007-03-10,2007
LaLiga,7,"Sun, 22/10/2006",Real Madrid,FC Barcelona,78.0,2:0,Real Madrid,0,2,2,780.0,2006-10-22,2006
LaLiga,31,"Sun, 02/04/2006",FC Barcelona,Real Madrid,98.295,1:1,Draw,1,1,2,98295.0,2006-04-02,2006
LaLiga,12,"Sat, 19/11/2005",Real Madrid,FC Barcelona,80.0,0:3,FC Barcelona,3,0,3,800.0,2005-11-19,2005
LaLiga,31,"Sun, 10/04/2005",Real Madrid,FC Barcelona,75.0,4:2,Real Madrid,2,4,6,750.0,2005-04-10,2005
LaLiga,12,"Sat, 20/11/2004",FC Barcelona,Real Madrid,97.905,3:0,FC Barcelona,3,0,3,97905.0,2004-11-20,2004
LaLiga,34,"Sun, 25/04/2004",Real Madrid,FC Barcelona,76.3,1:2,FC Barcelona,2,1,3,763.0,2004-04-25,2004
LaLiga,15,"Sat, 06/12/2003",FC Barcelona,Real Madrid,92.524,1:2,Real Madrid,1,2,3,92524.0,2003-12-06,2003
LaLiga,30,"Sat, 19/04/2003",Real Madrid,FC Barcelona,77.0,1:1,Draw,1,1,2,770.0,2003-04-19,2003
LaLiga,11,"Sat, 23/11/2002",FC Barcelona,Real Madrid,98.152,0:0,Draw,0,0,0,98152.0,2002-11-23,2002
UEFA Champions League,Semi-Finals,"Wed, 01/05/2002",Real Madrid,FC Barcelona,80.0,1:1,Draw,1,1,2,800.0,2002-05-01,2002
UEFA Champions League,Semi-Finals,"Tue, 23/04/2002",FC Barcelona,Real Madrid,98.26,0:2,Real Madrid,0,2,2,9826.0,2002-04-23,2002
LaLiga,30,"Sat, 16/03/2002",FC Barcelona,Real Madrid,95.0,1:1,Draw,1,1,2,950.0,2002-03-16,2002
LaLiga,11,"Sun, 04/11/2001",Real Madrid,FC Barcelona,70.0,2:0,Real Madrid,0,2,2,700.0,2001-11-04,2001
LaLiga,25,"Sat, 03/03/2001",Real Madrid,FC Barcelona,74.0,2:2,Draw,2,2,4,740.0,2001-03-03,2001
LaLiga,6,"Sat, 21/10/2000",FC Barcelona,Real Madrid,100.0,2:0,FC Barcelona,2,0,2,1000.0,2000-10-21,2000
LaLiga,26,"Sat, 26/02/2000",Real Madrid,FC Barcelona,80.0,3:0,Real Madrid,0,3,3,800.0,2000-02-26,2000
LaLiga,7,"Wed, 13/10/1999",FC Barcelona,Real Madrid,,2:2,Draw,2,2,4,0.0,1999-10-13,1999
LaLiga,22,"Sun, 14/02/1999",FC Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1999-02-14,1999
LaLiga,3,"Sat, 19/09/1998",Real Madrid,FC Barcelona,85.0,2:2,Draw,2,2,4,850.0,1998-09-19,1998
LaLiga,28,"Sat, 07/03/1998",FC Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1998-03-07,1998
LaLiga,9,"Sat, 01/11/1997",Real Madrid,FC Barcelona,104.0,2:3,FC Barcelona,3,2,5,1040.0,1997-11-01,1997
Supercopa,Final,"Sat, 23/08/1997",Real Madrid,FC Barcelona,60.0,4:1,Real Madrid,1,4,5,600.0,1997-08-23,1997
Supercopa,Final,"Wed, 20/08/1997",FC Barcelona,Real Madrid,85.0,2:1,FC Barcelona,2,1,3,850.0,1997-08-20,1997
LaLiga,37,"Sat, 10/05/1997",FC Barcelona,Real Madrid,115.0,1:0,FC Barcelona,1,0,1,1150.0,1997-05-10,1997
Copa del Rey,Round of 16,"Thu, 06/02/1997",Real Madrid,FC Barcelona,110.0,1:1,Draw,1,1,2,1100.0,1997-02-06,1997
Copa del Rey,Round of 16,"Thu, 30/01/1997",FC Barcelona,Real Madrid,105.0,3:2,FC Barcelona,3,2,5,1050.0,1997-01-30,1997
LaLiga,16,"Sat, 07/12/1996",Real Madrid,FC Barcelona,,2:0,Real Madrid,0,2,2,0.0,1996-12-07,1996
LaLiga,26,"Sat, 10/02/1996",FC Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1996-02-10,1996
LaLiga,5,"Sat, 30/09/1995",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1995-09-30,1995
LaLiga,35,"Sat, 27/05/1995",FC Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1995-05-27,1995
LaLiga,16,"Sat, 07/01/1995",Real Madrid,FC Barcelona,,5:0,Real Madrid,0,5,5,0.0,1995-01-07,1995
LaLiga,37,"Sat, 07/05/1994",Real Madrid,FC Barcelona,,0:1,FC Barcelona,1,0,1,0.0,1994-05-07,1994
LaLiga,18,"Sun, 09/01/1994",FC Barcelona,Real Madrid,,5:0,FC Barcelona,5,0,5,0.0,1994-01-09,1994
Supercopa,Final,"Thu, 16/12/1993",FC Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1993-12-16,1993
Supercopa,Final,"Thu, 02/12/1993",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1993-12-02,1993
Copa del Rey,Semi-Finals,"Wed, 16/06/1993",FC Barcelona,Real Madrid,,1:2,Real Madrid,1,2,3,0.0,1993-06-16,1993
Copa del Rey,Semi-Finals,"Wed, 09/06/1993",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1993-06-09,1993
LaLiga,20,"Sat, 30/01/1993",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1993-01-30,1993
LaLiga,1,"Sat, 05/09/1992",FC Barcelona,Real Madrid,97.5,2:1,FC Barcelona,2,1,3,975.0,1992-09-05,1992
LaLiga,25,"Sat, 07/03/1992",FC Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1992-03-07,1992
LaLiga,6,"Fri, 18/10/1991",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1991-10-18,1991
LaLiga,38,"Sat, 08/06/1991",Real Madrid,FC Barcelona,90.0,1:0,Real Madrid,0,1,1,900.0,1991-06-08,1991
LaLiga,19,"Sat, 19/01/1991",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1991-01-19,1991
Supercopa,Final,"Wed, 12/12/1990",Real Madrid,FC Barcelona,,4:1,Real Madrid,1,4,5,0.0,1990-12-12,1990
Supercopa,Final,"Wed, 05/12/1990",FC Barcelona,Real Madrid,,0:1,Real Madrid,0,1,1,0.0,1990-12-05,1990
Copa del Rey,Final,"Thu, 05/04/1990",FC Barcelona,Real Madrid,,2:0,FC Barcelona,2,0,2,0.0,1990-04-05,1990
LaLiga,25,"Thu, 15/02/1990",Real Madrid,FC Barcelona,,3:2,Real Madrid,2,3,5,0.0,1990-02-15,1990
LaLiga,6,"Sat, 07/10/1989",FC Barcelona,Real Madrid,,3:1,FC Barcelona,3,1,4,0.0,1989-10-07,1989
LaLiga,27,"Sat, 01/04/1989",FC Barcelona,Real Madrid,,0:0,Draw,0,0,0,0.0,1989-04-01,1989
LaLiga,8,"Sat, 22/10/1988",Real Madrid,FC Barcelona,,3:2,Real Madrid,2,3,5,0.0,1988-10-22,1988
Supercopa,Final,"Thu, 29/09/1988",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1988-09-29,1988
Supercopa,Final,"Wed, 21/09/1988",Real Madrid,FC Barcelona,,2:0,Real Madrid,0,2,2,0.0,1988-09-21,1988
LaLiga,35,"Sat, 30/04/1988",FC Barcelona,Real Madrid,,2:0,FC Barcelona,2,0,2,0.0,1988-04-30,1988
LaLiga,16,"Sat, 02/01/1988",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1988-01-02,1988
LaLiga,40,"Sat, 23/05/1987",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1987-05-23,1987
LaLiga,35,"Sun, 12/04/1987",Real Madrid,FC Barcelona,,0:0,Draw,0,0,0,0.0,1987-04-12,1987
LaLiga,25,"Sat, 31/01/1987",FC Barcelona,Real Madrid,,3:2,FC Barcelona,3,2,5,0.0,1987-01-31,1987
LaLiga,8,"Wed, 08/10/1986",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1986-10-08,1986
Copa de la Liga (bis 1986),Second Round,"Sun, 18/05/1986",Real Madrid,FC Barcelona,,0:4,FC Barcelona,4,0,4,0.0,1986-05-18,1986
Copa de la Liga (bis 1986),Second Round,"Sun, 11/05/1986",FC Barcelona,Real Madrid,,2:2,Draw,2,2,4,0.0,1986-05-11,1986
LaLiga,28,"Sat, 08/03/1986",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1986-03-08,1986
LaLiga,11,"Sat, 09/11/1985",FC Barcelona,Real Madrid,100.0,2:0,FC Barcelona,2,0,2,1000.0,1985-11-09,1985
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 18/05/1985",Real Madrid,FC Barcelona,,4:1on pens,Real Madrid,1,4,5,0.0,1985-05-18,1985
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 11/05/1985",FC Barcelona,Real Madrid,,2:2,Draw,2,2,4,0.0,1985-05-11,1985
LaLiga,18,"Sun, 30/12/1984",FC Barcelona,Real Madrid,,3:2,FC Barcelona,3,2,5,0.0,1984-12-30,1984
LaLiga,1,"Sun, 02/09/1984",Real Madrid,FC Barcelona,,0:3,FC Barcelona,3,0,3,0.0,1984-09-02,1984
